item_name,text,Type,Answers,Values,Score: TAS,Score:ES,Score:DIS,Score:BS_Imp,Optional,
ZKA-PQ25,I do not like to engage in sports or activities in which there is a significant risk of getting hurt,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,r1,,,,No,
ZKA-PQ26,I would not like a job involving a lot of travel,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,r1,,,No,
ZKA-PQ27,I am not interested in having new experiences just for the sake of experiencing new sensations,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,r1,,No,
ZKA-PQ28,I don’t like to start a project until I know exactly how to proceed,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,,r1,No,
ZKA-PQ29,I don’t think I would like flying in a small airplane,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,r1,,,,No,
ZKA-PQ30,I do not like people who behave in uncontrolled and unconventional ways,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,r1,,,No,
ZKA-PQ31,"I enjoy quiet, melodic popular or classical music",likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,r1,,No,
ZKA-PQ32,I tend to value and follow a rational and moderate approach to things,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,,r1,No,
ZKA-PQ33,Given a choice I would never volunteer for any activity that is physically risky,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,r1,,,,No,
ZKA-PQ34,I am comfortable with the familiarity of a fixed daily routine,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,r1,,,No,
ZKA-PQ35,One should not go too far in physical intimacy until one gets to know the other person,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,r1,,No,
ZKA-PQ36,I usually make up my mind through careful reasoning,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,,r1,No,
ZKA-PQ37,I would never travel to other countries where there is unrest and the threat of violence,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,r1,,,,No,
ZKA-PQ38,I would prefer to travel to places where people speak my language and have the same customs,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,r1,,,No,
ZKA-PQ39,One of my goals in life is to experience intense and pleasurable sensations,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,1,,No,
ZKA-PQ40,Before I get into a new situation I like to find out what to expect from it,likert,Disagree strongly|Disagree somewhat|Agree somewhat|Agree strongly,1|2|3|4,,,,r1,No,
,,,,,,,,,,
